File,UR,Test Time
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4110_022633_03Nov2023130515.mat,0.9310380101612545,2023-11-03 13:05:15
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4110_022650_03Nov2023142029.mat,0.61515890957362,2023-11-03 14:20:29
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4114_022595_26Oct2023061543.mat,0.557442469320377,2023-10-26 06:15:43
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4118_022759_31Oct2023141453.mat,0.737706387003743,2023-10-31 14:14:53
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4118_022765_31Oct2023144433.mat,0.8193857195042107,2023-10-31 14:44:33
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4118_022769_31Oct2023150144.mat,0.7902863463067886,2023-10-31 15:01:44
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4119_022753_02Nov2023063206.mat,0.7321757270171567,2023-11-02 06:32:06
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4126_023047_21Nov2023113544.mat,0.72760559522621,2023-11-21 11:35:44
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4155_023521_19Dec2023130249.mat,0.8017369661417939,2023-12-19 13:02:49
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4156_023562_22Dec2023120844.mat,0.6268514653650256,2023-12-22 12:08:44
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4156_023572_03Jan2024065052.mat,0.7573775540146368,2024-01-03 06:50:52
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4156_023577_03Jan2024072418.mat,0.7602537800290898,2024-01-03 07:24:18
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4156_023582_03Jan2024081109.mat,0.7278973653855746,2024-01-03 08:11:09
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4156_023600_03Jan2024103453.mat,0.7770209282523378,2024-01-03 10:34:53
